aleatorio,hibrido,guloso
60043,29307,19268
65992,33426,21705
58102,18167,18409
51821,35710,19939
50805,38736,22288
54049,25558,17950
55478,25280,22025
53143,33479,22025
54526,27690,20605
59312,23954,21705
60123,31445,19939
66099,34668,18763
65411,26919,19888
63309,37845,21705
57525,34057,20246
56828,33527,19380
56477,29314,21937
53155,21845,17202
59644,40814,22288
56288,36362,18576
58795,34614,20805
50154,29760,21567
55533,35985,21919
62949,40817,19939
59807,21802,18576
64407,26054,19106
55922,32528,18763
59822,36529,21705
53436,29228,18763
57487,36220,19145
